season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,10,2024-05-17 19:40:00,S.C.G.,Sydney,Carlton,17,15,117,9,11,65,Sydney,52,0,0,35782
2024,10,2024-05-18 13:45:00,M.C.G.,Collingwood,Adelaide,12,6,78,11,8,74,Collingwood,4,0,0,35783
2024,10,2024-05-18 16:35:00,Sydney Showground,Greater Western Sydney,Western Bulldogs,6,7,43,8,22,70,Western Bulldogs,-27,0,0,35784
2024,10,2024-05-18 19:30:00,Gabba,Brisbane Lions,Richmond,26,7,163,6,8,44,Brisbane Lions,119,0,0,35786
2024,10,2024-05-18 19:30:00,Docklands,St Kilda,Fremantle,8,7,55,9,18,72,Fremantle,-17,0,0,35785
2024,10,2024-05-19 13:10:00,Docklands,Essendon,North Melbourne,16,10,106,10,6,66,Essendon,40,0,0,35787
2024,10,2024-05-19 15:20:00,Adelaide Oval,Port Adelaide,Hawthorn,11,14,80,12,7,79,Port Adelaide,1,0,0,35788
2024,10,2024-05-19 18:20:00,Perth Stadium,West Coast,Melbourne,16,9,105,10,10,70,West Coast,35,0,0,35789
2024,11,2024-05-23 19:30:00,Docklands,Western Bulldogs,Sydney,12,16,88,16,6,102,Sydney,-14,0,0,35790
2024,11,2024-05-24 20:10:00,Perth Stadium,Fremantle,Collingwood,11,9,75,10,15,75,,0,0,0,35791
2024,11,2024-05-25 13:45:00,Docklands,Carlton,Gold Coast,15,12,102,11,7,73,Carlton,29,0,0,35793
2024,11,2024-05-25 13:45:00,Bellerive Oval,North Melbourne,Port Adelaide,7,6,48,16,11,107,Port Adelaide,-59,0,0,35792
2024,11,2024-05-25 16:35:00,Kardinia Park,Geelong,Greater Western Sydney,11,8,74,11,12,78,Greater Western Sydney,-4,0,0,35794
2024,11,2024-05-25 19:40:00,M.C.G.,Richmond,Essendon,10,14,74,12,14,86,Essendon,-12,0,0,35795
2024,11,2024-05-26 13:10:00,Docklands,Hawthorn,Brisbane Lions,15,10,100,10,15,75,Hawthorn,25,0,0,35796
2024,11,2024-05-26 15:20:00,M.C.G.,Melbourne,St Kilda,14,16,100,9,8,62,Melbourne,38,0,0,35797
2024,11,2024-05-26 16:40:00,Adelaide Oval,Adelaide,West Coast,21,11,137,5,8,38,Adelaide,99,0,0,35798
2024,12,2024-05-30 19:30:00,Adelaide Oval,Port Adelaide,Carlton,10,11,71,16,11,107,Carlton,-36,0,0,35799
2024,12,2024-05-31 19:40:00,Docklands,Collingwood,Western Bulldogs,12,10,82,15,10,100,Western Bulldogs,-18,0,0,35800
2024,12,2024-06-01 13:45:00,M.C.G.,Hawthorn,Adelaide,16,11,107,12,8,80,Hawthorn,27,0,0,35801
2024,12,2024-06-01 16:35:00,Perth Stadium,West Coast,St Kilda,10,8,68,12,10,82,St Kilda,-14,0,0,35802
